X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 7
1.858503936439432014e+00,1.820852045427288957e+00,6.081100000000000394e-01,7.929699999999999527e-01,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,-4.568499999999999783e-01,8.668299999999999894e-01,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,1.676499999999999935e-01,8.774100000000000232e-01,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,6.770300000000000207e-01,7.358799999999999786e-01,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,-6.707499999999999574e-01,6.895000000000000018e-01,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,2.051900000000000113e-01,8.538200000000000234e-01,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,5.753700000000000481e-01,8.152199999999999447e-01,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,-7.530599999999999516e-01,5.666999999999999815e-01,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,2.736299999999999844e-01,8.207600000000000451e-01,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
