X, Y, u, v, rho       # removing the +step in the arange
1.829003873956266624e+00,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.743505810934399936e+00,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.658007747912533247e+00,1.774163531441973918e+00,8.219500000000000417e-02,9.219550000000000800e-01,0.000000000000000000e+00
4.572509684890667003e+00,1.774163531441973918e+00,3.227100000000000107e-02,1.298500000000002430e-02,0.000000000000000000e+00
5.487011621868799871e+00,1.774163531441973918e+00,-4.992400000000000310e-02,9.102999999999999980e-02,0.000000000000000000e+00
6.401513558846932739e+00,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.316015495825066495e+00,1.774163531441973918e+00,4.623999999999999777e-01,6.237099999999999866e-01,0.000000000000000000e+00
8.230517432803200251e+00,1.774163531441973918e+00,9.223699999999999122e-01,2.508650000000000047e-01,0.000000000000000000e+00
9.145019369781334007e+00,1.774163531441973918e+00,4.599699999999999900e-01,6.271550000000000180e-01,0.000000000000000000e+00
1.005952130675946599e+01,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.097402324373759974e+01,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.188852518071573350e+01,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.280302711769386548e+01,1.774163531441973918e+00,-3.792249999999999788e-01,3.382850000000000024e-01,0.000000000000000000e+00
1.371752905467199923e+01,1.774163531441973918e+00,2.634999999999998455e-03,1.335000000000002851e-03,0.000000000000000000e+00
1.463203099165013299e+01,1.774163531441973918e+00,3.818599999999999772e-01,6.630500000000000282e-01,0.000000000000000000e+00
1.554653292862826675e+01,1.774163531441973918e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
