X, Y, u, v, rho       # original resolution
1.819377537777549403e+00,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,1.759128247277211399e+00,-4.992400000000000310e-02,9.102999999999999980e-02,0.000000000000000000e+00
7.277510151110197612e+00,1.759128247277211399e+00,-5.587400000000000005e-02,-7.964799999999999658e-01,0.000000000000000000e+00
9.096887688887747458e+00,1.759128247277211399e+00,9.414000000000000493e-03,8.881299999999999750e-01,0.000000000000000000e+00
1.091626522666529553e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.273564276444284538e+01,1.759128247277211399e+00,4.519050000000000011e-01,6.378150000000000208e-01,0.000000000000000000e+00
1.455502030222039522e+01,1.759128247277211399e+00,8.935699999999999754e-01,2.881799999999999917e-01,0.000000000000000000e+00
1.637439783999794329e+01,1.759128247277211399e+00,4.414049999999999918e-01,6.503849999999999909e-01,0.000000000000000000e+00
1.819377537777549492e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.001315291555304299e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.183253045333059106e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.365190799110814268e+01,1.759128247277211399e+00,-3.290000000000000147e-01,2.498099999999999765e-01,0.000000000000000000e+00
2.547128552888569075e+01,1.759128247277211399e+00,-6.305100000000000149e-01,-5.092900000000000205e-01,0.000000000000000000e+00
2.729066306666324238e+01,1.759128247277211399e+00,-1.290799999999999725e-01,1.467200000000000171e-01,0.000000000000000000e+00
2.911004060444079045e+01,1.759128247277211399e+00,-8.876500000000000501e-01,-1.417200000000000126e-01,0.000000000000000000e+00
3.092941814221833852e+01,1.759128247277211399e+00,-4.380550000000000277e-01,4.730980000000000185e-01,0.000000000000000000e+00
3.274879567999588659e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.456817321777344176e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098983e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.820692829332853790e+01,1.759128247277211399e+00,-4.118100000000000094e-01,6.418449999999999989e-01,0.000000000000000000e+00
4.002630583110608598e+01,1.759128247277211399e+00,8.278699999999999948e-01,-2.736399999999999944e-01,0.000000000000000000e+00
4.184568336888363405e+01,1.759128247277211399e+00,4.204950000000000077e-01,6.319399999999999462e-01,0.000000000000000000e+00
4.366506090666118212e+01,1.759128247277211399e+00,8.317299999999999693e-01,2.952199999999999824e-01,0.000000000000000000e+00
4.548443844443873729e+01,1.759128247277211399e+00,4.164900000000000269e-01,6.521550000000000402e-01,0.000000000000000000e+00
4.730381598221628536e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.912319351999383343e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.094257105777138150e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.276194859554892957e+01,1.759128247277211399e+00,-3.072250000000000258e-01,8.132349999999999302e-01,0.000000000000000000e+00
5.458132613332648475e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.640070367110403282e+01,1.759128247277211399e+00,-1.164349999999999968e-01,9.811149999999999594e-01,0.000000000000000000e+00
5.822008120888158089e+01,1.759128247277211399e+00,-7.448900000000000521e-01,6.398200000000000554e-01,0.000000000000000000e+00
6.185883628443667703e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.367821382221423221e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.549759135999177317e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.731696889776932835e+01,1.759128247277211399e+00,3.307100000000000040e-01,8.749249999999999527e-01,0.000000000000000000e+00
6.913634643554688353e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.095572397332442449e+01,1.759128247277211399e+00,4.718999999999999861e-01,6.642749999999999488e-01,0.000000000000000000e+00
7.277510151110197967e+01,1.759128247277211399e+00,-8.599700000000000122e-01,4.850700000000000012e-01,0.000000000000000000e+00
7.459447904887952063e+01,1.759128247277211399e+00,-3.353749999999999787e-01,8.447500000000000009e-01,0.000000000000000000e+00
7.641385658665707581e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.823323412443463098e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.005261166221217195e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.187198919998972713e+01,1.759128247277211399e+00,-3.716149999999999731e-01,7.073000000000000398e-01,0.000000000000000000e+00
8.369136673776726809e+01,1.759128247277211399e+00,7.470099999999999518e-01,-4.101699999999999791e-01,0.000000000000000000e+00
8.551074427554482327e+01,1.759128247277211399e+00,4.219800000000000217e-01,2.979749999999999899e-01,0.000000000000000000e+00
8.733012181332236423e+01,1.759128247277211399e+00,-8.331499999999999462e-01,3.929000000000000270e-01,0.000000000000000000e+00
8.914949935109991941e+01,1.759128247277211399e+00,4.107649999999999912e-01,3.109450000000000269e-01,0.000000000000000000e+00
9.096887688887747458e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.278825442665501555e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.460763196443257073e+01,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.642700950221011169e+01,1.759128247277211399e+00,-3.717799999999999994e-01,3.022199999999999886e-01,0.000000000000000000e+00
9.824638703998766687e+01,1.759128247277211399e+00,-7.610900000000000443e-01,-4.147100000000000231e-01,0.000000000000000000e+00
1.000657645777652220e+02,1.759128247277211399e+00,-3.789250000000000118e-01,3.075600000000000001e-01,0.000000000000000000e+00
1.018851421155427630e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.037045196533203182e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.055238971910978591e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.073432747288754143e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.091626522666529695e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.109820298044305105e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.128014073422080656e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.146207848799856066e+02,1.759128247277211399e+00,-4.302150000000000141e-01,7.114800000000000013e-01,0.000000000000000000e+00
1.164401624177631618e+02,1.759128247277211399e+00,-8.525700000000000500e-01,4.334999999999999964e-01,0.000000000000000000e+00
1.182595399555407170e+02,1.759128247277211399e+00,-4.635545000000000360e-01,6.829899999999999860e-01,0.000000000000000000e+00
1.200789174933182579e+02,1.759128247277211399e+00,8.246500000000000358e-03,8.910000000000000142e-01,0.000000000000000000e+00
1.218982950310958131e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.237176725688733541e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.255370501066509092e+02,1.759128247277211399e+00,-4.975800000000000223e-01,5.386965000000000225e-01,0.000000000000000000e+00
1.273564276444284644e+02,1.759128247277211399e+00,9.932699999999999863e-01,-1.067000000000000032e-01,0.000000000000000000e+00
1.291758051822060054e+02,1.759128247277211399e+00,-9.877249999999999641e-01,5.110699999999999965e-02,0.000000000000000000e+00
1.309951827199835463e+02,1.759128247277211399e+00,-9.839299999999999713e-01,-5.687899999999999900e-02,0.000000000000000000e+00
1.328145602577611157e+02,1.759128247277211399e+00,4.905149999999999788e-01,5.359110000000000262e-01,0.000000000000000000e+00
1.346339377955386567e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.364533153333161977e+02,1.759128247277211399e+00,-5.890499999999999903e-02,1.465000000000000191e-01,0.000000000000000000e+00
1.382726928710937671e+02,1.759128247277211399e+00,-7.298599999999999532e-02,-7.129799999999999471e-01,0.000000000000000000e+00
1.400920704088713080e+02,1.759128247277211399e+00,-3.055350000000000080e-02,1.373599999999999821e-01,0.000000000000000000e+00
1.419114479466488490e+02,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
