X,Y,U,V,rho
1.819377537777549403e+00,1.759128247277211399e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,5.277384741831633974e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,8.795641236386057216e+00,-2.628800000000000026e-01,9.376200000000000090e-01,0.000000000000000000e+00
1.819377537777549403e+00,1.231389773094048046e+01,2.211400000000000032e-01,9.482350000000000501e-01,0.000000000000000000e+00
1.819377537777549403e+00,1.583215422549490192e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,1.935041072004932516e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,2.286866721460374663e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,2.638692370915817165e+01,-3.704400000000000054e-02,9.900550000000000184e-01,0.000000000000000000e+00
1.819377537777549403e+00,2.990518020371259311e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,3.342343669826701813e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,3.694169319282143960e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,4.045994968737586106e+01,3.089149999999999952e-01,1.892250000000000043e-01,0.000000000000000000e+00
1.819377537777549403e+00,4.397820618193028253e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,4.749646267648471110e+01,-3.264750000000000152e-01,7.530250000000000554e-01,0.000000000000000000e+00
1.819377537777549403e+00,5.101471917103913256e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,5.453297566559355403e+01,-4.028999999999999804e-01,6.729499999999999371e-01,0.000000000000000000e+00
1.819377537777549403e+00,5.805123216014797549e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,6.156948865470239696e+01,-3.459800000000000098e-01,7.769150000000000222e-01,0.000000000000000000e+00
1.819377537777549403e+00,6.508774514925681842e+01,-8.954100000000000392e-01,1.584999999999999465e-01,0.000000000000000000e+00
1.819377537777549403e+00,6.860600164381123989e+01,-3.806700000000000084e-01,3.979400000000000714e-01,0.000000000000000000e+00
1.819377537777549403e+00,7.212425813836566135e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,7.564251463292009703e+01,-4.151199999999999890e-01,6.843200000000000394e-01,0.000000000000000000e+00
1.819377537777549403e+00,7.916077112747451849e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,8.267902762202893996e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,8.619728411658336142e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.819377537777549403e+00,8.971554061113778289e+01,4.400899999999999812e-01,3.216249999999999387e-01,0.000000000000000000e+00
1.819377537777549403e+00,9.323379710569220435e+01,-7.920700000000000518e-01,4.913399999999999990e-01,0.000000000000000000e+00
1.819377537777549403e+00,9.675205360024662582e+01,-7.965700000000000003e-01,3.590700000000000003e-01,0.000000000000000000e+00
1.819377537777549403e+00,1.002703100948010473e+02,-8.554500000000000437e-01,5.029700000000000282e-01,0.000000000000000000e+00
1.819377537777549403e+00,1.037885665893554688e+02,2.412799999999999945e-01,-6.920550000000000868e-01,0.000000000000000000e+00
3.638755075555098806e+00,3.518256494554422797e+00,-8.631999999999998563e-01,4.225300000000000722e-01,0.000000000000000000e+00
3.638755075555098806e+00,7.036512989108845595e+00,-8.581849999999998646e-01,3.022825000000000095e-01,0.000000000000000000e+00
3.638755075555098806e+00,1.055476948366326795e+01,-9.663300000000000223e-01,1.557300000000000351e-01,0.000000000000000000e+00
3.638755075555098806e+00,1.407302597821769119e+01,-8.969899999999998430e-01,2.691875000000000240e-01,0.000000000000000000e+00
3.638755075555098806e+00,1.759128247277211443e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,2.110953896732653590e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,2.462779546188096091e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,2.814605195643538238e+01,-4.993199999999999861e-01,5.077935000000000088e-01,0.000000000000000000e+00
3.638755075555098806e+00,3.166430845098980384e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,3.518256494554422886e+01,4.617200000000000193e-01,6.607899999999999885e-01,0.000000000000000000e+00
3.638755075555098806e+00,3.870082144009865033e+01,9.387799999999999478e-01,2.335000000000000409e-01,0.000000000000000000e+00
3.638755075555098806e+00,4.221907793465307179e+01,3.426500000000000101e-01,-2.121450000000000002e-01,0.000000000000000000e+00
3.638755075555098806e+00,4.573733442920749326e+01,6.900100000000000122e-01,4.912000000000000810e-01,0.000000000000000000e+00
3.638755075555098806e+00,4.925559092376192183e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,5.277384741831634329e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,5.629210391287076476e+01,4.586999999999999966e-01,6.149199999999999111e-01,0.000000000000000000e+00
3.638755075555098806e+00,5.981036040742518622e+01,8.585899999999998533e-01,2.902299999999999880e-01,0.000000000000000000e+00
3.638755075555098806e+00,6.332861690197960769e+01,-4.388699999999999823e-01,4.963238500000000109e-01,0.000000000000000000e+00
3.638755075555098806e+00,6.684687339653403626e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,7.036512989108845773e+01,-4.227449999999999819e-01,3.226649999999999796e-01,0.000000000000000000e+00
3.638755075555098806e+00,7.388338638564287919e+01,-8.702299999999998370e-01,-2.668699999999999406e-01,0.000000000000000000e+00
3.638755075555098806e+00,7.740164288019730066e+01,1.418649999999999911e-01,9.280049999999999688e-01,0.000000000000000000e+00
3.638755075555098806e+00,8.091989937475172212e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,8.443815586930614359e+01,4.471450000000000147e-01,6.412249999999999339e-01,0.000000000000000000e+00
3.638755075555098806e+00,8.795641236386056505e+01,-8.818999999999997952e-01,-3.642699999999999827e-01,0.000000000000000000e+00
3.638755075555098806e+00,9.147466885841498652e+01,7.384399999999999853e-01,3.540030000000000121e-01,0.000000000000000000e+00
3.638755075555098806e+00,9.499292535296942219e+01,7.564800000000000413e-01,-2.882700000000000262e-01,0.000000000000000000e+00
3.638755075555098806e+00,9.851118184752384366e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.638755075555098806e+00,1.020294383420782651e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,1.759128247277211399e+00,4.110650000000000137e-01,7.038850000000000939e-01,0.000000000000000000e+00
5.458132613332647765e+00,5.277384741831633974e+00,7.448099999999998611e-01,-1.435299999999999909e-01,0.000000000000000000e+00
5.458132613332647765e+00,8.795641236386057216e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,1.231389773094048046e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,1.583215422549490192e+01,4.594599999999999795e-01,4.967422500000001073e-01,0.000000000000000000e+00
5.458132613332647765e+00,1.935041072004932516e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,2.286866721460374663e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,2.638692370915817165e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,2.990518020371259311e+01,4.778499999999999970e-01,6.249550000000000383e-01,0.000000000000000000e+00
5.458132613332647765e+00,3.342343669826701813e+01,3.571799999999999975e-01,9.318900000000001071e-01,0.000000000000000000e+00
5.458132613332647765e+00,3.694169319282143960e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,4.045994968737586106e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,4.573733442920749326e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.458132613332647765e+00,4.925559092376192183e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.458132613332647765e+00,5.277384741831634329e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,5.629210391287076476e+01,-1.827350000000000085e-01,9.182749999999999524e-01,0.000000000000000000e+00
5.458132613332647765e+00,5.981036040742518622e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,6.332861690197960769e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,6.684687339653403626e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,7.036512989108845773e+01,3.527750000000000330e-02,9.269549999999999734e-01,0.000000000000000000e+00
5.458132613332647765e+00,7.388338638564287919e+01,-7.175000000000000266e-01,6.961100000000000065e-01,0.000000000000000000e+00
5.458132613332647765e+00,7.740164288019730066e+01,-4.419950000000000268e-01,5.284980000000000233e-01,0.000000000000000000e+00
5.458132613332647765e+00,8.091989937475172212e+01,-8.862200000000000077e-01,-2.536700000000000621e-01,0.000000000000000000e+00
5.458132613332647765e+00,8.443815586930614359e+01,-3.798050000000000037e-01,7.135000000000000231e-01,0.000000000000000000e+00
5.458132613332647765e+00,8.795641236386056505e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,9.147466885841498652e+01,-3.288599999999999857e-01,7.523599999999998067e-01,0.000000000000000000e+00
5.458132613332647765e+00,9.499292535296942219e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.458132613332647765e+00,9.851118184752384366e+01,-4.403150000000000119e-01,6.372949999999999449e-01,0.000000000000000000e+00
5.458132613332647765e+00,1.020294383420782651e+02,-8.362600000000000033e-01,4.245099999999999985e-01,0.000000000000000000e+00
7.277510151110197612e+00,1.759128247277211399e+00,2.962549999999999906e-01,1.803800000000000125e-01,0.000000000000000000e+00
7.277510151110197612e+00,5.277384741831633974e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.277510151110197612e+00,8.795641236386057216e+00,3.663899999999999935e-01,3.867200000000000082e-01,0.000000000000000000e+00
7.277510151110197612e+00,1.231389773094048046e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.277510151110197612e+00,1.583215422549490192e+01,-4.022749999999999937e-01,7.163249999999999895e-01,0.000000000000000000e+00
7.277510151110197612e+00,1.935041072004932516e+01,-9.062799999999999745e-01,2.876500000000000168e-01,0.000000000000000000e+00
7.277510151110197612e+00,2.286866721460374663e+01,1.314699999999999480e-01,1.703099999999999614e-01,0.000000000000000000e+00
7.277510151110197612e+00,2.638692370915817165e+01,-9.028899999999999704e-01,1.414499999999996316e-02,0.000000000000000000e+00
7.277510151110197612e+00,2.990518020371259311e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
